id,Question,Answer,wrong.ans0-9,Explanation
AAA001,this is longa question which is very long quesstion and can be as long as a paraghraph.001,"asnwaer0, asnwaer1, answer2","wrongans0, wrongans1, wrongans2, wrongans3",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 001
AAA002,this is longa question which is very long quesstion and can be as long as a paraghraph.002,"asnwaer0, asnwaer1, answer3","wrongans0, wrongans1, wrongans2, wrongans4",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 002
AAA003,this is longa question which is very long quesstion and can be as long as a paraghraph.003,"asnwaer0, asnwaer1, answer4","wrongans0, wrongans1, wrongans2, wrongans5",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 003
AAA004,this is longa question which is very long quesstion and can be as long as a paraghraph.004,"asnwaer0, asnwaer1, answer5","wrongans0, wrongans1, wrongans2, wrongans6",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 004
AAA005,this is longa question which is very long quesstion and can be as long as a paraghraph.005,"asnwaer0, asnwaer1, answer6","wrongans0, wrongans1, wrongans2, wrongans7",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 005
AAA006,this is longa question which is very long quesstion and can be as long as a paraghraph.006,"asnwaer0, asnwaer1, answer7","wrongans0, wrongans1, wrongans2, wrongans8",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 006
AAA007,this is longa question which is very long quesstion and can be as long as a paraghraph.007,"asnwaer0, asnwaer1, answer8","wrongans0, wrongans1, wrongans2, wrongans9",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 007
AAA008,this is longa question which is very long quesstion and can be as long as a paraghraph.008,"asnwaer0, asnwaer1, answer9","wrongans0, wrongans1, wrongans2, wrongans10",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 008
AAA009,this is longa question which is very long quesstion and can be as long as a paraghraph.009,"asnwaer0, asnwaer1, answer10","wrongans0, wrongans1, wrongans2, wrongans11",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 009
AAA010,this is longa question which is very long quesstion and can be as long as a paraghraph.010,"asnwaer0, asnwaer1, answer11","wrongans0, wrongans1, wrongans2, wrongans12",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 010
AAA011,this is longa question which is very long quesstion and can be as long as a paraghraph.011,"asnwaer0, asnwaer1, answer12","wrongans0, wrongans1, wrongans2, wrongans13",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 011
AAA012,this is longa question which is very long quesstion and can be as long as a paraghraph.012,"asnwaer0, asnwaer1, answer13","wrongans0, wrongans1, wrongans2, wrongans14",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 012
AAA013,this is longa question which is very long quesstion and can be as long as a paraghraph.013,"asnwaer0, asnwaer1, answer14","wrongans0, wrongans1, wrongans2, wrongans15",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 013
AAA014,this is longa question which is very long quesstion and can be as long as a paraghraph.014,"asnwaer0, asnwaer1, answer15","wrongans0, wrongans1, wrongans2, wrongans16",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 014
AAA015,this is longa question which is very long quesstion and can be as long as a paraghraph.015,"asnwaer0, asnwaer1, answer16","wrongans0, wrongans1, wrongans2, wrongans17",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 015
AAA016,this is longa question which is very long quesstion and can be as long as a paraghraph.016,"asnwaer0, asnwaer1, answer17","wrongans0, wrongans1, wrongans2, wrongans18",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 016
AAA017,this is longa question which is very long quesstion and can be as long as a paraghraph.017,"asnwaer0, asnwaer1, answer18","wrongans0, wrongans1, wrongans2, wrongans19",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 017
AAA018,this is longa question which is very long quesstion and can be as long as a paraghraph.018,"asnwaer0, asnwaer1, answer19","wrongans0, wrongans1, wrongans2, wrongans20",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 018
AAA019,this is longa question which is very long quesstion and can be as long as a paraghraph.019,"asnwaer0, asnwaer1, answer20","wrongans0, wrongans1, wrongans2, wrongans21",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 019
AAA020,this is longa question which is very long quesstion and can be as long as a paraghraph.020,"asnwaer0, asnwaer1, answer21","wrongans0, wrongans1, wrongans2, wrongans22",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 020
AAA021,this is longa question which is very long quesstion and can be as long as a paraghraph.021,"asnwaer0, asnwaer1, answer22","wrongans0, wrongans1, wrongans2, wrongans23",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 021
AAA022,this is longa question which is very long quesstion and can be as long as a paraghraph.022,"asnwaer0, asnwaer1, answer23","wrongans0, wrongans1, wrongans2, wrongans24",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 022
AAA023,this is longa question which is very long quesstion and can be as long as a paraghraph.023,"asnwaer0, asnwaer1, answer24","wrongans0, wrongans1, wrongans2, wrongans25",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 023
AAA024,this is longa question which is very long quesstion and can be as long as a paraghraph.024,"asnwaer0, asnwaer1, answer25","wrongans0, wrongans1, wrongans2, wrongans26",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 024
AAA025,this is longa question which is very long quesstion and can be as long as a paraghraph.025,"asnwaer0, asnwaer1, answer26","wrongans0, wrongans1, wrongans2, wrongans27",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 025
AAA026,this is longa question which is very long quesstion and can be as long as a paraghraph.026,"asnwaer0, asnwaer1, answer27","wrongans0, wrongans1, wrongans2, wrongans28",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 026
AAA027,this is longa question which is very long quesstion and can be as long as a paraghraph.027,"asnwaer0, asnwaer1, answer28","wrongans0, wrongans1, wrongans2, wrongans29",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 027
AAA028,this is longa question which is very long quesstion and can be as long as a paraghraph.028,"asnwaer0, asnwaer1, answer29","wrongans0, wrongans1, wrongans2, wrongans30",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 028
AAA029,this is longa question which is very long quesstion and can be as long as a paraghraph.029,"asnwaer0, asnwaer1, answer30","wrongans0, wrongans1, wrongans2, wrongans31",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 029
AAA030,this is longa question which is very long quesstion and can be as long as a paraghraph.030,"asnwaer0, asnwaer1, answer31","wrongans0, wrongans1, wrongans2, wrongans32",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 030
AAA031,this is longa question which is very long quesstion and can be as long as a paraghraph.031,"asnwaer0, asnwaer1, answer32","wrongans0, wrongans1, wrongans2, wrongans33",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 031
